date,close,daily_return,temperature,humidity,cloud_cover,wind_speed,good_weather,bad_weather
2026-04-09,679.17,0.467448706,4.9,71,23,13.9,0,0
2026-04-08,676.01,2.546949425,3.1,52,0,14.3,0,0
2026-04-07,659.22,0.044010745,7.6,53,38,23.3,1,0
2026-04-06,658.93,0.47268347,8.8,50,32,21.1,1,0
2026-04-02,655.83,0.090043343,8.1,79,100,21.7,0,1
2026-04-01,655.24,0.75345204,21.0,58,87,18.8,0,1
2026-03-31,650.34,2.90678355,20.8,58,85,19.7,0,1
2026-03-30,631.97,-0.334337397,13.6,59,55,19.6,1,0
2026-03-27,634.09,-1.705188423,11.1,66,86,20.1,0,1
2026-03-26,645.09,-1.785877409,14.9,61,82,20.0,0,1
2026-03-25,656.82,0.557273646,5.6,63,87,17.2,0,1
2026-03-24,653.18,-0.335683115,3.4,56,20,14.8,0,0
2026-03-23,655.38,1.050002313,5.9,82,85,17.5,0,1
2026-03-20,648.57,-1.702030918,7.0,72,66,17.7,0,0
2026-03-19,659.8,-0.246435753,1.5,68,59,9.1,0,1
2026-03-18,661.43,-1.395369639,-1.3,53,26,11.8,0,1
2026-03-17,670.79,0.263067426,3.4,53,51,33.1,0,0
2026-03-16,669.03,1.017681076,12.3,93,100,27.8,0,1
2026-03-13,662.29,-0.566015074,2.4,58,50,19.8,0,1
2026-03-12,666.06,-1.518489495,8.2,84,85,22.8,0,1
2026-03-11,676.33,-0.125520541,16.3,71,55,14.3,1,0
2026-03-10,677.18,-0.160702965,14.9,65,3,10.6,1,0
2026-03-09,678.27,0.875992742,12.0,65,2,11.5,1,0
2026-03-06,672.38,-1.310710249,3.7,86,100,17.5,0,1
2026-03-05,681.31,-0.55755842,3.6,97,100,14.0,0,1
2026-03-04,685.13,0.705539959,3.7,91,88,9.2,0,1
2026-03-03,680.33,-0.881435939,-0.9,87,92,8.5,0,1
2026-03-02,686.38,0.056852141,-5.8,62,44,12.4,0,1
2026-02-27,685.99,-0.480197302,-3.3,84,4,14.1,0,1
2026-02-26,689.3,-0.555435331,1.2,72,68,13.8,0,1
2026-02-25,693.15,0.84382047,-0.8,79,65,14.8,0,1
2026-02-24,687.35,0.726857076,-4.5,70,34,20.2,0,1
2026-02-23,682.39,-1.0211334,-0.3,79,100,33.0,0,1
2026-02-20,689.43,0.723176718,2.2,91,100,13.1,0,1
2026-02-19,684.48,-0.263736904,2.4,79,100,10.0,0,1
2026-02-18,686.29,0.50377096,1.7,95,98,8.5,0,1
2026-02-17,682.85,0.161349468,2.4,87,64,11.4,0,1
2026-02-13,681.75,0.070456647,-4.0,72,39,12.9,0,1
2026-02-12,681.27,-1.544886988,-1.4,71,91,17.0,0,1
2026-02-11,691.96,-0.023117378,0.8,74,72,17.6,0,1
2026-02-10,692.12,-0.26370776,-5.1,73,98,15.3,0,1
2026-02-09,693.95,0.482175437,-9.8,67,29,15.8,0,1
2026-02-06,690.62,1.918479384,-7.5,77,83,9.5,0,1
2026-02-05,677.62,-1.248925225,-8.2,74,7,12.4,0,1
2026-02-04,686.19,-0.484387916,-4.9,70,52,14.5,0,1
2026-02-03,689.53,-0.845544355,-7.2,73,33,10.0,0,1
2026-02-02,695.41,0.497131379,-6.7,63,5,17.8,0,1
2026-01-30,691.97,-0.298253703,-12.5,63,0,14.6,0,1
2026-01-29,694.04,-0.19844123,-11.8,69,6,13.8,0,1
2026-01-28,695.42,-0.010064846,-10.4,68,34,15.4,0,1
2026-01-27,695.49,0.398423628,-10.2,67,32,20.8,0,1
2026-01-26,692.73,0.507813067,-6.1,78,86,20.0,0,1
2026-01-23,689.23,0.036285524,-1.0,41,69,22.0,0,1
2026-01-22,688.98,0.522322731,3.0,60,71,19.2,0,1
2026-01-21,685.4,1.154107264,-7.6,63,46,15.8,0,1
2026-01-20,677.58,-2.035682272,-8.8,60,0,18.6,0,1
2026-01-16,691.66,-0.08378597,-2.9,43,28,20.7,0,1
2026-01-15,692.24,0.272321687,2.4,62,46,19.7,0,1
2026-01-14,690.36,-0.491517362,6.4,66,100,10.0,0,1
2026-01-13,693.77,-0.199953967,2.7,64,54,15.5,0,1
2026-01-12,695.16,0.157044678,1.3,57,27,22.6,0,1
2026-01-09,694.07,0.661339212,5.4,85,70,16.8,0,1
2026-01-08,689.51,-0.010151106,5.1,77,8,10.5,1,0
2026-01-07,689.58,-0.32234284,4.8,83,74,18.0,0,1
2026-01-06,691.81,0.594718781,1.0,84,98,7.5,0,1
2026-01-05,687.72,0.666012852,-1.8,72,74,12.6,0,1
2026-01-02,683.17,0.18330596,-4.4,61,82,14.4,0,1
2025-12-31,681.92,-0.74089169,-2.2,50,76,16.5,0,1
2025-12-30,687.01,-0.122119648,-1.3,47,82,25.5,0,1
2025-12-29,687.85,-0.356361635,3.5,84,85,23.8,0,1
2025-12-26,690.31,-0.010139344,-4.1,56,83,12.0,0,1
2025-12-24,690.38,0.351764637,3.4,71,39,24.6,0,0
2025-12-23,687.96,0.457047734,1.4,84,99,10.8,0,1
2025-12-22,684.83,0.622988877,-0.6,56,36,14.1,0,1
2025-12-19,680.59,0.609044008,9.0,80,83,30.6,0,1
2025-12-18,676.47,0.755138517,1.6,86,49,12.2,0,1
